SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000177471381166:637000177471381166::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000178708385671:637000178708385671::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000178733218317:637000178733218317::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000178747275576:637000178747275576::
SwitchOn:Concessions:Concessions Front:Complete:RpiZero5:637000179758752155:637000179758752155::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000179884712346:637000179884712346::
SwitchOn:FrontGate:Gate Shack:Complete:RpiZero4:637000180137485532:637000180137485532::
SwitchOff:FrontGate:Gate Shack:Complete:RpiZero4:637000180192044464:637000180192044464::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000183207274101:637000183207274101::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000183208417482:637000183208417482::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000183211443595:637000183211443595::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000183217064584:637000183217064584::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000184186557995:637000184186557995::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000184188786175:637000184188786175::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000184189664160:637000184189664160::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000184190587935:637000184190587935::
Motion:Tower:Tower NW:Complete:RpiZero10:637000187258072980:637000187578334208:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729173845.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000187598368405:637000187648375271:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729173919.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000188237490803:637000188327587251:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729174023.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000188297744216:637000188358470771:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729174029.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000188278780279:637000188369083967:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729174027.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000188294515761:637000188374590593:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729174029.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000188659083333:637000188719557359:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729174105.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000188677866764:637000188740800407:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729174107.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000188664796677:637000188745016491:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729174106.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000188717846834:637000188817957925:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729174111.mp4
